input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies
16,4,1225.647286159061,1155.1622414441292,12,2
16,4,949.0827600155762,560.23878472017,21,0
16,4,786.077522735074,785.8315509895024,16,9
16,4,1033.8872300312055,1013.2228712625417,18,0
16,4,974.1853006741926,974.1853006741926,9,0
16,4,970.1587671315623,757.6352581159483,16,8
16,4,868.8966391487162,611.2114863537912,16,6
16,4,1035.3991196713532,751.5192428810024,19,1
16,4,1000.441703117877,626.2172361246671,10,0
16,4,860.5296436485309,663.7363779210468,16,0
16,4,1231.5880221763014,923.0548574674854,8,6
16,4,1531.483824597906,1427.562228467119,14,0
16,4,1368.264874261185,1368.264874261185,4,0
16,4,1333.2881995082826,1035.6474270069687,19,5
16,4,1628.8966153741503,1285.5713012505394,18,0
16,4,1107.1329129935675,922.1343318776827,19,0
16,4,1002.7286989073413,889.3082421910874,17,0
16,4,1635.1746257269372,1479.1471123362742,12,0
16,4,1085.4330334049832,689.6819539235499,11,0
16,4,1370.0533835551043,1366.318401978846,14,0
16,4,1541.9773297354723,606.9628023757933,24,4
16,4,1181.0639973331859,969.9174491296075,20,12
16,4,1248.4033077251786,1214.531940365474,17,7
16,4,1171.7673519740913,958.0263100225557,19,7
16,4,1892.6959970956646,1822.5297561831017,14,0
16,4,1945.6602655412125,1942.2317314482816,11,0
16,4,1232.7807433845028,1082.8069619227888,24,0
16,4,893.2645679742915,535.5901839956836,15,6
16,4,1125.5934539309162,1058.6976167098935,20,10
16,4,1164.0509504787076,956.5730701569859,13,0
16,4,1149.101996377024,1021.9079118837955,5,0
16,4,739.8878236983713,739.8878236983713,14,6
16,4,1267.238458362823,1251.1865224606227,17,1
16,4,963.72168856178,818.453953019154,24,1
16,4,1347.698675147426,1321.4721446376118,18,0
16,4,1097.0290275823415,1066.994323447821,5,1
16,4,1164.8834177382046,952.3212995585501,16,0
16,4,703.0592311634607,522.7195832335685,14,4
16,4,1246.423225594728,696.0049528713274,16,4
16,4,1158.9249606041399,1111.3161610843863,23,0
16,4,1041.7144481445346,801.0109151274694,18,0
16,4,1327.5670373501605,1156.3775025736084,18,0
16,4,1046.036635522881,1012.4568010346602,16,8
16,4,1614.8167811365113,752.1705837413188,12,2
16,4,937.004582197872,846.8023435905342,17,0
16,4,1172.0047421437373,1067.7684763362704,19,6
16,4,1358.7988036038748,1331.7852314509207,17,0
16,4,771.2981282041995,387.6403705173264,17,2
16,4,921.5657588326324,632.2840654530174,23,0
16,4,1543.2186270130933,1356.195016974931,13,4
16,4,1037.8896542743132,1037.8850932651023,15,6
16,4,1498.6683610889704,1428.2008201640876,20,7
16,4,1138.4776770919593,1106.7592025243628,18,6
16,4,1258.9892303989186,614.400346827772,20,0
16,4,880.2307564673906,556.1915889596179,17,0
16,4,918.736592289879,753.8429222718582,18,4
16,4,981.9930724017424,981.8325499091237,10,0
16,4,972.0900702481827,971.9868825699833,14,3
16,4,1337.8189758721185,785.558166787117,15,2
16,4,1374.1397663725306,987.7313696248316,14,9
16,4,881.6504267340414,727.4165634748601,18,0
16,4,990.6607310835635,797.8785316835324,19,6
16,4,1387.1804781938943,1289.4709602979387,10,0
16,4,653.1870292711353,368.67435617021175,16,1
16,4,1213.7724921981153,1201.2972143985385,14,1
16,4,760.2431296584693,758.8886758697233,19,7
16,4,835.8704914978265,819.5728696742646,22,7
16,4,936.0650186983833,930.9683884449399,11,2
16,4,1246.6649025303598,920.8213902927095,5,0
16,4,1094.7392058738565,1094.095284106733,23,0
16,4,1615.5870862748814,1544.0086332119668,18,0
16,4,1124.6509099979476,1094.7155069755756,18,0
16,4,1109.4043361214942,598.588463986562,16,5
16,4,1330.147673595143,1328.0760679029809,13,0
16,4,1558.502549306926,1536.1661508173297,17,0
16,4,953.8434038257788,727.6122393133287,19,0
16,4,1135.5944816624906,1119.3581354743828,13,0
16,4,1096.0781238924415,983.9505333498921,19,11
16,4,1550.1298493336749,921.3716722335164,15,6
16,4,805.4224332711477,567.0108250440458,17,2
16,4,1021.7079969909157,777.030975795528,13,5
16,4,828.6796350567107,781.0257773459912,18,2
16,4,1020.3136927311393,685.1784071423829,16,5
16,4,1058.7311368714882,358.54919241096127,19,2
16,4,1226.030694388813,1204.6050642382656,12,7
16,4,1465.8328809947795,1416.0530538083676,16,0
16,4,1224.2327456876342,1135.6042178622902,12,4
16,4,960.3957302583027,911.2829607186251,18,8
16,4,1004.4655127957973,960.8598789937924,19,0
16,4,1394.5572871353256,1383.21896832719,22,0
16,4,895.3032909096231,779.3701204527,12,8
16,4,842.1971925278841,818.5259978346224,16,4
16,4,902.7968032014649,704.14734469635,20,7
16,4,1379.0558953620357,1362.8812566436047,18,3
16,4,1256.7065772966196,1157.5415435941777,18,8
16,4,1148.9842660072118,1117.039126432697,27,1
16,4,1261.3233772687554,1104.83289485206,14,6
16,4,844.9194151262836,844.9026011642263,18,8
16,4,828.0192764631453,790.6650093396847,19,9
16,4,953.218283513654,797.3511266278601,18,8
16,4,1108.9271952082051,1029.4002478439127,8,0
16,4,1388.82849321433,1304.0775530354183,15,0
16,4,2131.5366693683277,2125.8116164256357,20,0
16,4,997.6806415921864,940.9510429982498,14,6
16,4,1681.5910310654333,1548.4400471989657,11,2
16,4,824.4509286821263,468.6167615083728,14,0
16,4,1682.8836516874223,1675.4259751640247,9,0
16,4,903.4773558420721,769.0385319926379,12,0
16,4,692.8427420504856,692.8427420504856,12,5
16,4,1040.370657351624,979.1291336281218,17,10
16,4,979.76969021111,930.008413375063,13,7
16,4,1109.0760415363218,699.4061929641748,21,0
16,4,1113.4482857595262,956.3422263068462,11,8
16,4,1077.3105213523374,1055.796614942546,15,0
16,4,882.1985189312489,750.2330361324017,15,0
16,4,1422.252680043843,1181.3527091898284,13,9
16,4,1571.1083261879285,663.7858522328589,16,0
16,4,940.6989027608563,929.9732671651288,20,13
16,4,1602.9505976454877,1602.8941505954297,22,1
16,4,1052.96509920901,900.531429543316,15,11
16,4,1098.9789038255221,1004.1579174854797,14,0
16,4,949.4512910192684,882.4818602278377,11,0
16,4,918.3303256946535,788.1456567830317,14,8
16,4,1302.488020576217,1135.3195432051064,14,7
16,4,912.370064340011,908.8031357770834,12,4
16,4,906.3265862759707,887.1165675243185,17,8
16,4,1059.6531787172053,894.4735589953449,17,8
16,4,1129.6554311550256,794.7452621892264,22,1
16,4,1300.3546713401668,609.8694832984363,16,0
16,4,1370.0225118304004,1100.3670275519753,13,0
16,4,1814.7658760195277,1544.2651261439516,14,0
16,4,850.5323759456246,821.3778011607824,6,1
16,4,752.6406732548671,436.1137216960899,21,0
16,4,1368.5078192644464,1094.4092214904492,19,0
16,4,1395.6004511729275,743.47390043928306,6,0
16,4,1101.5259295883382,1047.467878738888,13,0
16,4,815.3883555388693,710.0404888285123,24,10
16,4,1217.6941047000148,963.117876869163,12,0
16,4,722.0000034962114,547.8158454028124,7,0
16,4,1219.1454376405018,1204.2050289155502,12,2
16,4,1516.2226614433946,1385.01139319028,16,0
16,4,1360.532041021913,410.2088069167199,17,0
16,4,854.600912823908,846.3037628727733,18,5
16,4,884.0466224925697,823.5058795641822,24,2
16,4,1851.3967894894722,1679.2663282984086,15,0
16,4,1347.7862206748566,1319.4810602966268,19,0
16,4,1267.3178590294538,803.4413028203043,18,7
16,4,1674.7483392677116,1621.3412652583431,17,0
16,4,893.8336767323012,891.2507412374911,22,11
16,4,940.3170254759725,557.7501076917607,19,1
16,4,1191.8866578697555,323.9971443428415,15,0
16,4,1515.6995502936793,1064.389580771381,9,4
16,4,1174.4115317245853,447.2343001146689,19,2
16,4,933.7882735857511,752.2922883139995,23,0
16,4,1204.6397485379034,700.0790687961321,21,0
16,4,747.9261776686342,541.0109454241035,14,0
16,4,858.5265977073952,852.0155599246793,12,0
16,4,1062.7635351607764,754.7429557941819,20,7
16,4,882.6058533696242,765.1923295230903,10,0
16,4,1284.502935437701,966.6255306799794,17,6
16,4,1099.7401681914669,967.3235745467243,18,0
16,4,871.2568915468844,860.9129300114749,16,1
16,4,926.383319339091,835.1146902389654,12,0
16,4,1612.3715587566976,1612.3437345209504,10,0
16,4,1050.3226140604681,928.898740381901,15,0
16,4,1352.1116179704666,1118.7105229981962,15,0
16,4,1514.631358062416,1265.0108893429585,22,12
16,4,1779.3706364152415,1489.827656933048,15,7
16,4,1570.1247296869917,669.5765401564671,17,2
16,4,1148.7569966214319,1106.3950659601264,21,14
16,4,1468.6046086342171,1313.419216383662,10,2
16,4,945.4916796408054,689.1650314944048,16,0
16,4,1124.6966939078866,998.5830083094434,23,9
16,4,984.1226206997795,965.679293504924,20,11
16,4,666.3266827089546,666.2394455748773,10,6
16,4,1404.2451671992185,750.8426129808183,19,1
16,4,985.0535001040608,980.9325404778809,18,7
16,4,1550.4047448630517,1376.1743889184515,19,7
16,4,966.5972425894488,923.3972695978582,16,0
16,4,1365.488634088605,898.029938334016,22,0
16,4,897.7301849733482,876.1034915642617,12,1
16,4,1170.2184221853843,570.7388202859202,10,0
16,4,1240.0337841974113,1222.6740488431574,13,0
16,4,1293.6879940430329,1293.6879940430329,21,0
16,4,832.8398216117342,832.8398216117342,18,7
16,4,1057.4811806450548,922.6085136453142,14,10
