input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies
16,4,1959.3759776897014,536.393303986216,15,5
16,4,752.221122733602,310.87840051254284,13,0
16,4,961.5539113049142,890.4645305383585,15,5
16,4,1111.5956646280931,1023.9846322191737,13,0
16,4,1045.846849136016,877.4543658248605,NA,NA
16,4,967.5211447129273,959.7001951395977,15,1
16,4,1077.874333439114,873.095997332046,11,0
16,4,731.5222546923707,557.143992861776,NA,NA
16,4,882.6980187159344,877.4678515957568,18,7
16,4,678.923831070014,574.8381971417723,NA,NA
16,4,1725.1242274600747,1613.2353253270694,12,0
16,4,1894.2459717335907,1544.5417495231934,21,0
16,4,1252.7481576345806,1171.4721054349943,19,2
16,4,1220.1694995271437,721.6970610952577,23,6
16,4,1018.6050098492385,737.6255666698208,20,12
16,4,1211.2296494222007,1092.2652546853676,13,9
16,4,776.4051502179874,506.45614447413385,19,5
16,4,1033.8050841534207,1025.4236086431604,18,0
16,4,1048.456461121756,697.2581970126639,19,1
16,4,939.5527952727191,506.7056942297904,20,2
16,4,902.5554538226605,443.6672179205225,16,0
16,4,1127.2069071519072,874.6880943032698,16,6
16,4,1022.2735198341096,321.7149999135769,16,0
16,4,849.7348551603486,608.6993731769877,17,3
16,4,801.707929822726,346.26595766744333,10,1
16,4,1064.5854895213902,929.3964173274758,NA,NA
16,4,863.0600392731204,851.5393318286899,21,6
16,4,1306.6040008338475,1170.773535363631,20,7
16,4,1200.6468417460214,1154.4327869677388,21,7
16,4,1382.1457015094377,598.7974065181817,NA,NA
16,4,1362.1710764987183,1348.3479314619915,25,4
16,4,813.5134131655391,694.5505235956962,17,5
16,4,809.6128514942208,679.30919962208975,15,3
16,4,1315.9490047056497,1308.5099505284204,20,2
16,4,903.6797216307577,868.7626251959655,13,8
16,4,1185.9625842969297,1136.1804512425356,11,0
16,4,844.3828832537437,680.5053067392931,20,3
16,4,1010.3888935645858,656.057637543993,19,0
16,4,933.5899848514514,737.0790698722413,13,5
16,4,1425.2205481114797,1333.4353122077416,13,0
16,4,907.0094535297349,901.5352524094254,17,4
16,4,1419.2118721674162,1198.7368959416747,12,0
16,4,977.1381906730702,533.64186694276,11,0
16,4,1484.3207984441603,1318.962463644998,19,8
16,4,1106.1112175353378,1092.952145180614,13,0
16,4,882.2076955646462,879.6651446959154,19,5
16,4,1341.5269760091667,868.2048381955768,14,0
16,4,1100.4855563494457,980.3328362686453,18,0
16,4,912.2265083769857,609.3058653042418,13,0
16,4,1236.6438361582386,1232.4791173115784,12,3
16,4,1011.7415539924677,940.9231817984831,16,2
16,4,978.2421994997017,816.4938826911584,14,0
16,4,1198.4083701434915,732.5562907312066,13,0
16,4,1759.0455632321116,1595.3234097016004,20,7
16,4,1255.9565915957976,1154.9673833664856,19,0
16,4,983.4405516852094,943.2902856485895,24,1
16,4,759.4708785207257,718.1742060732405,11,0
16,4,1078.2324703579638,917.2768619189256,18,8
16,4,1176.6517115198103,626.5057408195769,13,0
16,4,1293.6029100473877,748.576379256043,14,0
16,4,963.3165568400448,900.1768252031742,18,7
16,4,1139.0596065310203,931.3672017687004,23,9
16,4,1019.4477816674604,1008.2399994625574,19,10
16,4,975.7051046067694,778.9655506809625,15,1
16,4,1823.0241645444564,394.73454544724615,19,0
16,4,1376.642730192741,1321.4004260192442,10,0
16,4,889.2219837127469,889.214245802843,24,11
16,4,1255.1830279918352,1056.276459593824,11,1
16,4,1025.5284303201013,945.7475532588755,11,5
16,4,1698.2783385641958,1402.4305936314322,12,8
16,4,967.1721802380721,635.3042150189323,15,7
16,4,916.8425479725514,863.9052943917783,21,7
16,4,1304.3616134222495,1245.474025029621,18,0
16,4,1457.5592726033406,659.6362974741726,15,0
16,4,1130.6036168508822,1130.6036168508822,16,0
16,4,1103.9592113628153,874.5942323180874,17,1
16,4,767.2091907167738,767.2091907167738,NA,NA
16,4,1003.7209706159139,711.6377059453689,11,2
16,4,1513.240029430263,375.19708146889155,12,0
16,4,1083.1658760834398,827.762383988101,16,11
16,4,713.3684424316846,659.6283857358496,19,8
16,4,986.6742543186425,554.1716696249755,17,0
16,4,1078.3373442881311,1057.9815662500757,16,3
16,4,839.6726423850005,839.5077802587261,19,6
16,4,601.8223880198053,601.7914709961249,NA,NA
16,4,1328.9682969830565,1025.9772222610927,13,0
16,4,757.7308631213835,753.478777859828,16,2
16,4,879.4882893704175,851.1553826102055,10,5
16,4,1300.119195081289,864.4329294115713,16,7
16,4,1053.6700809722277,1034.229075421333,19,11
16,4,1176.1981084537902,1150.3384720284962,16,3
16,4,935.0180985107131,906.7012481085817,18,3
16,4,1001.4172627264337,977.5557177510409,18,9
16,4,1125.7932464165851,736.1250363934043,17,0
16,4,898.2986744029654,756.7215374182117,NA,NA
16,4,1483.5628243617573,1346.30389069906,17,1
16,4,1224.448203977402,695.5409340950207,22,3
16,4,1002.9550153506832,997.4341543872705,16,3
16,4,927.4329612889234,710.3858904798708,16,0
16,4,1390.6943116423784,836.7240175680387,10,7
16,4,941.8880442894753,910.9940571954436,16,6
16,4,864.8311237419222,342.7096419944022,9,1
16,4,1436.2599632330107,1305.764683559295,15,6
16,4,1201.4745114191758,1010.2411101106003,13,2
16,4,1015.8578536708849,978.2422355409888,15,0
16,4,959.3586612462084,913.2881258041417,16,5
16,4,1092.977661014137,1059.1533097001504,23,12
16,4,844.8951126033379,744.1238103396138,17,9
16,4,771.5439455560746,405.80042208717396,18,0
16,4,604.7366475980558,361.82462240840493,NA,NA
16,4,1301.3038285578136,553.0631361980214,16,0
