input_body_mean,input_body_sd,true_vac_rad,sliced_vac_rad,true_bodies,sliced_bodies,cl
16,4,1334.9671481259606,1310.274828114912,11.0,0.0,t2
16,4,1046.0430616597564,959.6949987114864,16.0,9.0,t2
16,4,1543.4312078741486,1516.8779999106814,9.0,5.0,t2
16,4,1015.343962432856,1001.136727656156,11.0,0.0,t2
16,4,1090.7725876049963,942.8382008707171,19.0,4.0,t2
16,4,784.7113882518979,481.4665602469143,13.0,0.0,t2
16,4,990.0802772791836,925.7818669844576,15.0,10.0,t2
16,4,1533.9918207164812,1091.2547407104576,16.0,10.0,t2
16,4,1058.113556328876,568.8898319545177,21.0,0.0,t2
16,4,1619.4927881459923,1609.2909226322531,9.0,0.0,t2
16,4,1197.0019866854734,1147.370203028082,16.0,0.0,t2
16,4,761.6453675531401,695.8499945776738,18.0,3.0,t2
16,4,1149.065635211203,1070.5826459116886,24.0,1.0,t2
16,4,768.4966655002366,508.23744841390226,17.0,3.0,t2
16,4,1599.1100128607038,875.2605382661728,21.0,0.0,t2
16,4,1218.7930125216199,995.3379364000276,18.0,0.0,t2
16,4,1437.3737424014469,1437.3337959157318,18.0,1.0,t2
16,4,1039.556519805048,1033.5800979376363,14.0,1.0,t2
16,4,1111.307048588527,976.9373619811839,18.0,12.0,t2
16,4,1586.2994285375905,310.5002951201167,16.0,0.0,t2
16,4,1371.6160486681904,1193.880842054096,15.0,0.0,t2
16,4,1228.4659328638566,763.7694483120997,18.0,6.0,t2
16,4,1495.4941199535967,1425.4531312495858,19.0,0.0,t2
16,4,897.2995372324942,698.4779883815636,16.0,2.0,t2
16,4,1289.1394966971288,1265.651781098756,16.0,2.0,t2
16,4,677.4446537284277,669.2732924375714,13.0,8.0,t2
16,4,782.1848057807979,463.0899350093142,15.0,1.0,t2
16,4,1462.9462836476455,1227.1638099030733,11.0,5.0,t2
16,4,1408.6965593960758,736.4423964315104,15.0,0.0,t2
16,4,933.6850356649015,838.3249297321772,16.0,0.0,t2
16,4,1260.8430790012278,1247.3995533465707,15.0,4.0,t2
16,4,1086.2573385377964,1077.5770533575183,18.0,8.0,t2
16,4,1360.2953395894372,1210.9479414798554,11.0,2.0,t2
16,4,919.6368391541456,917.564341550974,17.0,6.0,t2
16,4,1197.1678549667834,1161.1725299600075,11.0,1.0,t2
16,4,859.3292840821823,851.6223118397197,15.0,2.0,t2
16,4,984.4961275920332,828.7508776156957,13.0,0.0,t2
16,4,1545.4294130036874,1455.4811557091648,14.0,0.0,t2
16,4,1232.2088745325448,1218.9612831699778,8.0,0.0,t2
16,4,1261.5959459402036,1076.456664108542,17.0,0.0,t2
16,4,1527.7326363803259,1505.1438462377896,27.0,5.0,t2
16,4,1082.0801140662206,1080.5666382296456,18.0,3.0,t2
16,4,1372.8294000199367,1221.4980210842425,15.0,4.0,t2
16,4,988.2348788053392,988.2107960927267,12.0,4.0,t2
16,4,1121.355698963779,808.5083002724721,16.0,2.0,t2
16,4,1661.7883125814205,1649.2405090650668,17.0,3.0,t2
16,4,780.3842249189131,719.7707989378447,11.0,0.0,t2
16,4,1050.5360846513377,1049.6299035536153,12.0,4.0,t2
16,4,916.0210444614388,860.1741628688322,16.0,0.0,t2
16,4,987.7683819724533,621.0530721333887,19.0,0.0,t2
16,4,968.2046319589168,707.5605483541101,18.0,0.0,t2
16,4,1310.9917742500352,1035.3241836944708,9.0,0.0,t2
16,4,1315.9940032656527,1196.8259109734115,23.0,5.0,t2
16,4,1245.787978099334,1241.480286675757,15.0,5.0,t2
16,4,1096.9453507831593,630.2860952146115,20.0,0.0,t2
16,4,1141.5239307153952,485.00560799359596,20.0,0.0,t2
16,4,960.8126659853217,934.0698217485226,18.0,5.0,t2
16,4,783.3342364638994,414.6946354479483,17.0,0.0,t2
16,4,1558.3415228899028,576.8902124045484,17.0,8.0,t2
16,4,962.3664151182896,620.0113088657082,17.0,5.0,t2
16,4,1046.9516085071918,1023.0325238242258,19.0,6.0,t2
16,4,1415.9954772883889,1415.7823371280813,16.0,0.0,t2
16,4,1147.4915113327295,731.5121574461419,18.0,0.0,t2
16,4,954.4950204458873,910.7464630454268,18.0,9.0,t2
16,4,1409.5871223827505,996.3597336801254,12.0,0.0,t2
16,4,1127.1826057786157,1090.881383790921,19.0,2.0,t2
16,4,1022.8507551971173,825.1583528269442,15.0,1.0,t2
16,4,1595.194699787677,1340.6295839412899,12.0,5.0,t2
16,4,854.7653322271245,847.1325221871574,10.0,0.0,t2
16,4,1289.1267060798082,789.9232575492111,10.0,1.0,t2
16,4,1622.3504621614745,1046.0249138294623,17.0,0.0,t2
16,4,2328.931774283949,1981.9024634785453,21.0,0.0,t2
16,4,1486.5783652478922,1441.6115276368994,14.0,3.0,t2
16,4,1323.4023704692574,1279.9963305735894,23.0,0.0,t2
16,4,1214.0956298004214,1001.0209924416542,19.0,9.0,t2
16,4,948.9848236902558,926.796486900607,11.0,8.0,t2
16,4,1110.0097110656322,862.1697427136555,18.0,1.0,t2
16,4,1232.5149320450887,1153.7500705687487,17.0,7.0,t2
16,4,1171.7872716575978,1093.306521840441,18.0,12.0,t2
16,4,1893.979699282036,1700.6051725582183,10.0,0.0,t2
16,4,992.1633426552968,928.8448103661208,11.0,3.0,t2
16,4,1069.289150526008,791.8366835355209,10.0,7.0,t2
16,4,1151.95576664798,1035.2054250759024,19.0,12.0,t2
16,4,1270.3085867124084,1264.744628798356,14.0,0.0,t2
16,4,1364.7717961171916,1364.7717961171916,19.0,0.0,t2
16,4,1562.3815572503565,817.5289399961156,17.0,4.0,t2
16,4,911.6218325018202,863.6286596073744,16.0,9.0,t2
16,4,1211.9706485733286,1206.673936536613,24.0,1.0,t2
16,4,1199.912349531713,878.5090447598633,13.0,0.0,t2
16,4,1113.3752365462935,1113.2801807439025,17.0,2.0,t2
16,4,1415.3431673892974,958.2408812766696,17.0,0.0,t2
16,4,1115.0502083296758,1049.3874504103483,11.0,4.0,t2
16,4,1499.580506469376,1495.6193666483912,16.0,0.0,t2
16,4,858.0687786479867,727.9958691881357,16.0,10.0,t2
16,4,1229.0594758563318,995.9899055227147,17.0,2.0,t2
16,4,1503.1839638910346,1460.2604293338354,18.0,8.0,t2
16,4,969.0912615815924,957.8321063484801,19.0,7.0,t2
16,4,1219.895631745053,1188.4489022252767,14.0,3.0,t2
16,4,812.9247299524556,787.9941484053882,20.0,11.0,t2
16,4,1079.8680758628836,591.0757444507883,15.0,5.0,t2
16,4,1418.0264926427076,1414.1221471410925,17.0,6.0,t2
16,4,1159.0228580929095,1089.0461429216666,16.0,7.0,t2
16,4,1120.9873259749088,1117.7887428702893,15.0,3.0,t2
16,4,1018.692750389853,1001.3906007914328,17.0,3.0,t2
16,4,1840.1320501123414,1746.8683329739274,16.0,2.0,t2
16,4,1149.393426881299,1055.775028150259,23.0,5.0,t2
16,4,938.6805577449812,744.587276183862,18.0,10.0,t2
16,4,1278.9015673086362,1038.288985275586,15.0,3.0,t2
16,4,1475.2948986071945,1301.922370672603,14.0,0.0,t2
16,4,1163.9287834337774,860.1125861403659,8.0,0.0,t2
16,4,1464.8386907400436,1412.7247882837687,18.0,6.0,t2
16,4,828.8569985985745,778.1092049351718,13.0,9.0,t2
16,4,1491.5248859035792,1039.7822747854248,14.0,0.0,t2
16,4,1206.8362375854458,950.437199544963,11.0,3.0,t2
16,4,1180.2777112642998,952.3254484786478,21.0,6.0,t2
16,4,1083.9275642239097,913.3416934958044,23.0,1.0,t2
16,4,1305.6510915398912,827.1859686914047,20.0,2.0,t2
16,4,1624.5419351377814,1622.4070792811358,20.0,0.0,t2
16,4,1407.202227289824,1141.3210611914233,11.0,0.0,t2
16,4,1263.4668183443746,1207.1987466874084,14.0,0.0,t2
16,4,1371.5154756737809,869.0214570068297,23.0,0.0,t2
16,4,1243.5365890651547,841.9526389490163,15.0,11.0,t2
16,4,832.4585217071634,794.2794494616588,16.0,6.0,t2
16,4,1319.871156013612,1319.0305484110493,15.0,0.0,t2
16,4,1050.2176854144843,1029.5281848159707,10.0,8.0,t2
16,4,853.1535839938242,788.9064731615925,8.0,0.0,t2
16,4,1552.6349006157516,317.0431986941808,13.0,0.0,t2
16,4,1236.3010830539881,343.06145678758025,18.0,0.0,t2
16,4,1424.287802788811,1318.3476498941,20.0,3.0,t2
16,4,969.6783003624432,715.6346798214787,24.0,0.0,t2
16,4,1929.3003840663766,1917.8763534082361,13.0,0.0,t2
16,4,1456.0290649290243,998.2399773432112,22.0,0.0,t2
16,4,1372.3495261356627,1365.8467325516049,22.0,8.0,t2
16,4,1033.957659336987,675.1272373397768,16.0,3.0,t2
16,4,1777.2614925260705,1764.1108108276776,18.0,0.0,t2
16,4,1501.464992648651,1163.2868957158098,16.0,3.0,t2
16,4,1309.283040352722,1240.3930943583234,15.0,6.0,t2
16,4,791.5054680578372,725.2338994253398,11.0,0.0,t2
16,4,1358.2193925492732,535.33276578502,21.0,0.0,t2
16,4,897.2436539183169,870.2184038924704,19.0,2.0,t2
16,4,746.8387939569902,479.58749852503416,10.0,5.0,t2
16,4,933.8596558092144,923.626408513766,16.0,7.0,t2
16,4,1345.6617752044924,1161.32288647112,17.0,0.0,t2
16,4,1039.186966620483,1006.3166159703819,13.0,1.0,t2
16,4,1518.8224612423687,422.6412971487652,11.0,0.0,t2
16,4,1150.1354235360598,446.623937691381,9.0,1.0,t2
16,4,1617.90970823866,1617.90970823866,13.0,0.0,t2
16,4,1191.443203454809,1082.2275792187643,12.0,0.0,t2
16,4,2034.203394224051,1986.074685974552,13.0,0.0,t2
16,4,1128.5795047351519,1128.5795047351519,15.0,3.0,t2
16,4,1681.3681439236393,1381.9930209867587,14.0,0.0,t2
16,4,1445.8240681276816,1373.5852133142298,21.0,7.0,t2
16,4,1233.1047302098132,632.2446127738207,25.0,0.0,t2
16,4,762.2513064747469,647.1663083679036,9.0,0.0,t2
16,4,1178.1501052514168,1029.5085547987258,22.0,10.0,t2
16,4,1822.504790395459,774.9060645729539,19.0,0.0,t2
16,4,2005.6222043463308,1993.2341550211802,20.0,0.0,t2
16,4,865.9650174241281,706.3255644465216,9.0,0.0,t2
16,4,1153.3096448212045,641.0215995166196,13.0,0.0,t2
16,4,1621.1985812235964,1230.3043251190109,15.0,0.0,t2
16,4,1055.7526545898806,900.7012070783583,6.0,0.0,t2
16,4,1186.08750902442,1091.966266870693,19.0,0.0,t2
16,4,1219.36490490194,1212.2831890522302,15.0,0.0,t2
16,4,1173.5518349071633,1040.7688001873246,13.0,3.0,t2
16,4,1085.2335200419068,973.30356097118,19.0,0.0,t2
16,4,1227.6780551974355,1189.3257791799679,13.0,2.0,t2
16,4,974.9885988339807,691.8927457574129,14.0,0.0,t2
16,4,1083.4378043317722,662.0319370219282,19.0,3.0,t2
16,4,1077.1938618176116,1016.1400952148033,18.0,5.0,t2
16,4,1443.287139720682,1094.171015827308,22.0,0.0,t2
16,4,1087.5256378372546,1087.5256378372546,17.0,4.0,t2
16,4,1206.4811165736185,559.1067414264039,21.0,0.0,t2
16,4,866.4620972525513,831.1228980975043,15.0,4.0,t2
16,4,960.9585126831067,862.9526946265021,14.0,7.0,t2
16,4,1112.1394756887394,817.7820777604047,12.0,0.0,t2
16,4,983.258191580476,983.258191580476,19.0,2.0,t2
16,4,1475.7272116668514,953.7883274973891,10.0,2.0,t2
16,4,967.095294539854,846.8180505004503,20.0,7.0,t2
16,4,1502.8059181172114,1392.1228597904685,18.0,7.0,t2
16,4,1098.0750237948682,1057.3866239427384,9.0,0.0,t2
16,4,1084.4927484161701,431.605305261792,9.0,1.0,t2
16,4,607.2282987560899,410.37450103345725,15.0,1.0,t2
16,4,899.7368795755435,788.6281526511267,16.0,1.0,t2
16,4,988.6600853669742,852.3046290111099,17.0,7.0,t2
16,4,946.0646876698642,859.2757748559998,19.0,8.0,t2
16,4,1247.3862442240452,810.3547497225774,20.0,0.0,t2
16,4,1273.8712044105596,1273.7495278579026,10.0,5.0,t2
16,4,896.3089989771231,890.4718704796679,17.0,7.0,t2
16,4,1276.032720107229,1029.855996042866,27.0,2.0,t2
16,4,1544.4720211464871,1350.4426260369355,0.0,0.0,t2
16,4,1218.5279971390285,1199.9150067060446,10.0,0.0,t2
16,4,1319.8794512958937,1114.6390093567618,7.0,0.0,t2
16,4,1094.3417781262717,820.0534782787953,11.0,0.0,t2
16,4,1314.3760922519725,1314.3760922519725,19.0,6.0,t2
16,4,1685.2975044397324,419.9513653057872,15.0,0.0,t2
16,4,1861.6231139747333,1825.6665165169845,21.0,0.0,t2
16,4,1407.9996411387565,1375.8397706746493,18.0,1.0,t2
16,4,1087.7985703189106,991.1180701344707,13.0,0.0,t2
16,4,1300.2555121879136,1267.431281505892,21.0,1.0,t2
16,4,1184.5966484313765,1045.9238416153446,14.0,0.0,t2
16,4,1318.7461215251344,1133.030057815368,21.0,0.0,t2
16,4,1193.957907288404,809.5561543154546,13.0,0.0,t2
16,4,1445.2641608822285,1303.5984769310305,13.0,0.0,t2
16,4,1684.1217601660494,1577.4704090268951,10.0,4.0,t2
16,4,1061.5064739742797,491.6989277497275,17.0,3.0,t2
16,4,1224.1036289334033,767.6821129312558,15.0,0.0,t2
16,4,1389.5618228637811,1224.7581285816354,19.0,8.0,t2
16,4,1228.660195029571,983.3806365087908,18.0,8.0,t2
16,4,1222.7486604326787,1035.7895401369492,16.0,0.0,t2
16,4,1717.0417508329654,1714.5584997788324,13.0,0.0,t2
16,4,1273.1042992435596,1106.4053202808507,15.0,4.0,t2
16,4,1272.3324393586274,1080.2196094641502,12.0,2.0,t2
16,4,1009.8971567651528,867.776902296168,16.0,0.0,t2
16,4,1048.0257575036408,751.8408538670571,16.0,9.0,t2
16,4,1557.9413235011048,1000.3878102467003,20.0,0.0,t2
16,4,723.147781020721,701.7895550756036,18.0,7.0,t2
16,4,1129.1643046496972,1089.3938152276523,18.0,2.0,t2
16,4,999.6196987529379,692.7653138354007,22.0,0.0,t2
16,4,1251.335585456586,614.5319080658952,12.0,0.0,t2
16,4,1155.7917804174258,960.4480799454573,18.0,5.0,t2
16,4,1278.9509207252229,1001.8229782062372,17.0,0.0,t2
16,4,1420.4054612482596,846.5049511326941,18.0,0.0,t2
16,4,1604.5084731244558,1297.8307357533188,12.0,6.0,t2
16,4,847.444180692294,840.0827153600305,17.0,8.0,t2
16,4,1133.7378469050216,561.944343427827,9.0,0.0,t2
16,4,1721.9391629709353,1294.6905283618648,19.0,0.0,t2
16,4,1240.8370765610691,991.8415300409296,18.0,1.0,t2
16,4,1779.1478312258746,1175.3118052933235,23.0,18.0,t2
16,4,1288.7525013950785,869.4781411383548,15.0,3.0,t2
16,4,1700.4309545082115,1583.2197914098724,15.0,6.0,t2
16,4,848.0379696384731,680.8982525094598,14.0,8.0,t2
16,4,859.1045914577247,857.1438302171338,18.0,4.0,t2
